time,hr,dist,speed
616,181,1734.29,3
617,181,1737.28,2.99000000000001
618,181,1740.26,2.98000000000002
619,181,1743.24,2.98000000000002
620,180,1746.2,2.96000000000004
621,180,1749.17,2.9699999999998
622,180,1752.15,2.98000000000002
623,180,1755.09,2.94000000000005
624,180,1758.04,2.94999999999982
625,178,1761,2.96000000000026
626,178,1763.93,2.93000000000006
627,178,1766.85,2.92000000000007
628,178,1769.77,2.91999999999962
629,178,1772.68,2.91000000000031
630,177,1775.57,2.88999999999987
631,177,1778.48,2.90999999999985
632,177,1781.4,2.92000000000007
633,177,1784.31,2.91000000000008
634,177,1787.22,2.91000000000008
635,177,1790.11,2.88999999999987
636,177,1793,2.8900000000001
637,177,1795.87,2.86999999999989
638,177,1798.73,2.86000000000013
639,177,1801.57,2.83999999999992
640,177,1804.41,2.83999999999992
641,177,1807.24,2.83000000000015
642,177,1810.07,2.82999999999993
643,177,1812.9,2.82999999999993
644,177,1815.73,2.82999999999993
645,178,1818.55,2.82000000000016
646,178,1821.33,2.77999999999997
647,178,1824.06,2.73000000000002
648,178,1826.76,2.70000000000005
649,178,1829.45,2.69000000000005
650,179,1832.14,2.68999999999983
651,179,1834.81,2.66999999999985
652,179,1837.51,2.70000000000027
653,179,1840.21,2.69999999999982
654,179,1842.93,2.72000000000025
655,179,1845.68,2.75
656,179,1848.47,2.78999999999974
657,179,1851.27,2.80000000000018
658,179,1854.1,2.82999999999993
659,179,1856.92,2.81999999999994
660,178,1859.73,2.80999999999995
661,178,1862.57,2.84000000000015
662,178,1865.42,2.84999999999991
663,178,1868.31,2.8900000000001
664,178,1871.25,2.93999999999983
665,176,1874.24,2.99000000000024
666,176,1877.27,3.02999999999997
667,176,1880.33,3.05999999999995
668,176,1883.42,3.08999999999992
669,176,1886.5,3.07999999999993
670,172,1889.57,3.07000000000016
671,172,1892.65,3.07999999999993
672,172,1895.73,3.08000000000015
673,172,1898.81,3.07999999999993
674,172,1901.87,3.05999999999995
675,173,1904.94,3.06999999999994
676,173,1908.01,3.07000000000016
677,173,1911.07,3.05999999999972
678,173,1914.1,3.0300000000002
679,173,1917.14,3.03999999999996
680,174,1920.18,3.04000000000019
681,174,1923.22,3.03999999999996
682,174,1926.26,3.03999999999974
683,174,1929.31,3.05000000000018
684,174,1932.38,3.06999999999994
685,174,1935.45,3.06999999999994
686,174,1938.53,3.08000000000015
687,174,1941.61,3.07999999999993
688,174,1944.68,3.07000000000016
689,174,1947.75,3.06999999999971
690,179,1950.8,3.05000000000018
691,179,1953.84,3.03999999999996
692,179,1956.88,3.03999999999996
693,179,1959.93,3.04999999999995
694,179,1963,3.06999999999994
695,180,1966.12,3.12000000000012
696,180,1969.25,3.13000000000011
697,180,1972.41,3.16000000000008
698,180,1975.57,3.15999999999985
699,180,1978.72,3.15000000000009
700,179,1981.86,3.13999999999987
701,179,1984.99,3.13000000000011
702,179,1988.14,3.15000000000009
703,179,1991.3,3.15999999999985
704,179,1994.5,3.20000000000005
705,176,1997.72,3.22000000000003
705.71,176,2000,3.21126760563328
706,176,2000.93,3.20689655172554
707,176,2004.21,3.27999999999975
708,176,2007.48,3.27000000000021
709,176,2010.75,3.26999999999998
710,172,2014.02,3.27000000000021
711,172,2017.3,3.27999999999975
712,172,2020.57,3.26999999999998
713,172,2023.84,3.27000000000021
714,172,2027.11,3.26999999999953
715,174,2030.36,3.25000000000045
716,174,2033.61,3.25
717,174,2036.87,3.25999999999954
718,174,2040.14,3.27000000000021
719,174,2043.4,3.25999999999999
720,174,2046.68,3.2800000000002
721,169,2049.95,3.26999999999998
722,169,2053.2,3.25
723,169,2056.47,3.26999999999953
724,169,2059.71,3.24000000000069
725,169,2062.94,3.22999999999956
726,176,2066.19,3.25
727,176,2069.42,3.23000000000002
728,176,2072.65,3.23000000000047
729,176,2075.9,3.24999999999955
730,176,2079.14,3.24000000000024
731,176,2082.36,3.2199999999998
732,176,2085.61,3.25
733,176,2088.84,3.23000000000002
734,176,2092.05,3.21000000000004
735,176,2095.28,3.23000000000002
736,176,2098.48,3.20000000000027
737,176,2101.68,3.19999999999936
738,176,2104.88,3.20000000000027
739,176,2108.06,3.17999999999984
740,176,2111.24,3.17999999999984
741,162,2114.42,3.18000000000029
742,162,2117.58,3.16000000000031
743,162,2120.73,3.14999999999964
744,162,2123.86,3.13000000000011
745,162,2126.99,3.13000000000011
746,154,2130.11,3.11999999999989
747,154,2133.25,3.14000000000033
748,154,2136.4,3.14999999999964
749,154,2139.55,3.15000000000009
750,154,2142.71,3.15999999999985
751,161,2145.86,3.15000000000009
752,161,2149,3.13999999999987
753,161,2152.13,3.13000000000011
754,161,2155.25,3.11999999999989
755,161,2158.36,3.11000000000013
756,163,2161.48,3.11999999999989
757,163,2164.61,3.13000000000011
758,163,2167.72,3.11000000000013
759,163,2170.82,3.09999999999991
760,163,2173.89,3.07000000000016
761,163,2176.95,3.05999999999995
762,156,2180,3.04999999999973
763,156,2183.04,3.03999999999996
764,156,2186.14,3.09999999999991
765,156,2189.25,3.11000000000058
766,156,2192.39,3.13999999999942
767,168,2195.54,3.15000000000055
768,168,2198.7,3.15999999999985
769,168,2201.89,3.19000000000005
770,168,2205.08,3.1899999999996
771,168,2208.28,3.20000000000027
772,164,2211.44,3.15999999999985
773,164,2214.57,3.13000000000011
774,164,2217.66,3.08999999999969
775,164,2220.7,3.04000000000042
776,164,2223.69,2.99000000000024
777,167,2226.67,2.98000000000002
778,167,2229.68,3.00999999999976
779,167,2232.72,3.03999999999996
780,167,2235.77,3.04999999999973
781,167,2238.83,3.05999999999995
782,156,2241.92,3.0900000000006
783,156,2245,3.07999999999947
784,156,2248.07,3.07000000000016
785,156,2251.15,3.07999999999993
786,156,2254.21,3.05999999999995
787,156,2257.27,3.05999999999995
788,151,2260.34,3.07000000000016
789,151,2263.4,3.05999999999995
790,151,2266.47,3.06999999999971
791,151,2269.53,3.0600000000004
792,151,2272.6,3.07000000000016
793,154,2275.66,3.05999999999995
794,154,2278.72,3.05999999999995
795,154,2281.79,3.06999999999971
796,154,2284.86,3.07000000000016
797,154,2287.93,3.07000000000016
798,148,2291.02,3.08999999999969
799,148,2294.11,3.09000000000015
800,148,2297.2,3.09000000000015
801,148,2300.29,3.09000000000015
802,148,2303.36,3.06999999999971
803,140,2306.45,3.09000000000015
804,140,2309.54,3.08999999999969
805,140,2312.62,3.08000000000038
806,140,2315.72,3.09999999999991
807,140,2318.81,3.08999999999969
808,149,2321.89,3.08000000000038
809,149,2324.96,3.07000000000016
810,149,2328.03,3.06999999999971
811,149,2331.09,3.05999999999995
812,149,2334.14,3.05000000000018
813,152,2337.18,3.03999999999951
814,152,2340.22,3.04000000000042
815,152,2343.22,3
